mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_step_size	param_prop_sparsity	param_norm	param_max_cosamp_iter	param_lamb	param_function_budget	param_delta	param_cosamp_tol	params	split0_test_score	mean_test_score	std_test_score	rank_test_score
214.36027026176453	0.0	2.3365020751953125e-05	0.0	0.001	0.15	2	10	0.1	10000.0	0.001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	19.24670307902278	19.24670307902278	0.0	47
202.28008699417114	0.0	0.0475316047668457	0.0	0.001	0.15	2	15	0.1	10000.0	0.001	0.5	{'step_size': 0.001, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	22.453250191248774	22.453250191248774	0.0	46
184.81755781173706	0.0	4.100799560546875e-05	0.0	0.01	0.15	2	15	0.1	10000.0	0.001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	27.912516300668006	27.912516300668006	0.0	45
95.04872822761536	0.0	3.123283386230469e-05	0.0	0.01	0.2	2	25	0.1	10000.0	0.0001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	29.06471106231171	29.06471106231171	0.0	44
217.17178010940552	0.0	0.006376981735229492	0.0	0.01	0.1	2	20	0.1	10000.0	0.0001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	73.15984645056031	73.15984645056031	0.0	43
94.40935111045837	0.0	3.457069396972656e-05	0.0	0.01	0.25	2	20	0.1	10000.0	1e-05	0.5	{'step_size': 0.01, 'prop_sparsity': 0.25, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	214.6759380851592	214.6759380851592	0.0	42
160.84015226364136	0.0	2.6702880859375e-05	0.0	1.0	0.2	2	15	0.1	10000.0	1e-05	0.5	{'step_size': 1.0, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	726405953.1628551	726405953.1628551	0.0	41
151.72497725486755	0.0	3.600120544433594e-05	0.0	0.01	0.1	2	5	0.1	10000.0	0.0001	0.5	{'step_size': 0.01, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	16009941163.88923	16009941163.88923	0.0	40
114.02778911590576	0.0	3.910064697265625e-05	0.0	1.0	0.2	2	15	0.1	10000.0	0.0001	0.5	{'step_size': 1.0, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.0001, 'cosamp_tol': 0.5}	17294964552.26693	17294964552.26693	0.0	39
248.36472988128662	0.0	0.040085792541503906	0.0	1.0	0.1	2	20	0.1	10000.0	1e-05	0.5	{'step_size': 1.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	23347438098.43428	23347438098.43428	0.0	38
